Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
370261,8.01132,-7.02383,1.36561,-32.9991,101.3,103.607,559.867,110.918,1051.06,-1.27E-07,11784.4,8809.09,59.66,0,9.97936,49.9399,11777.5,15.3294,10.7146,90489,158.191,101.3,2.10E-31,0.355212
370271,8.0153,-7.02392,1.36561,-32.9991,101.3,103.605,559.887,110.918,1051.08,-1.64E-07,11785.2,8809.69,59.66,0,9.97987,49.9411,11778.2,15.3305,10.7164,90494.8,158.191,101.3,2.10E-31,0.355241
370281,8.01482,-7.02392,1.36561,-32.9991,101.3,103.602,559.908,110.917,1051.11,-2.34E-07,11785.9,8810.27,59.66,0,9.98033,49.9423,11778.9,15.3317,10.7187,90500.9,158.191,101.3,2.10E-31,0.355262
370291,8.01482,-7.02392,1.36561,-32.9991,101.3,103.602,559.912,110.918,1051.1,-1.50E-07,11786.4,8810.68,59.66,0,9.98076,49.9437,11779.2,15.3332,10.718,90505.2,158.191,101.3,2.10E-31,0.355278
370301,8.01482,-7.0219,1.36561,-32.9991,101.3,103.599,559.923,110.918,1051.12,-1.60E-07,11787,8811.12,59.66,0,9.9811,49.9451,11779.5,15.3344,10.7195,90513.4,158.191,101.3,2.10E-31,0.355334
370311,8.01889,-7.0219,1.36561,-32.9991,101.3,103.598,559.934,110.917,1051.12,-8.67E-08,11787.4,8811.48,59.66,0,9.98146,49.9466,11780.1,15.3358,10.7214,90519.4,158.191,101.3,2.10E-31,0.355379
370321,8.01889,-7.0219,1.36554,-32.9991,101.3,103.596,559.946,110.917,1051.14,-1.20E-07,11788,8811.91,59.66,0,9.98183,49.9481,11780.4,15.3369,10.7208,90525.4,158.191,101.3,2.10E-31,0.355413
370331,8.01889,-7.01964,1.36714,-32.9991,101.3,103.594,559.96,110.915,1051.13,-7.50E-08,11788.4,8812.17,59.66,0,9.98219,49.9494,11781.5,15.3382,10.7222,90531.8,158.191,101.3,2.10E-31,0.355452
370341,8.02321,-7.01964,1.36706,-32.9991,101.3,103.594,559.989,110.916,1051.17,-5.66E-08,11789.1,8812.71,59.66,0,9.98252,49.9507,11782.3,15.339,10.7222,90537.9,158.191,101.3,2.10E-31,0.355475
370351,8.02269,-7.01964,1.36706,-32.9991,101.3,103.591,560.003,110.913,1051.17,-1.29E-07,11789.5,8813.02,59.66,0,9.9829,49.9519,11783.1,15.3401,10.7238,90544.1,158.191,101.3,2.10E-31,0.355512
370361,8.02269,-7.01964,1.36706,-32.9991,101.3,103.591,560.011,110.913,1051.18,-9.64E-08,11789.9,8813.38,59.66,0,9.98329,49.9531,11783.4,15.3411,10.7238,90550.2,158.191,101.3,2.10E-31,0.355538
